,Model,Precision,Recall,F1,Acc,TPR,FPR,LRPOS,LRNEG,ROC
0,MLP,3.3096138903063133,3.6418128126004583,3.701766067669114,3.6418128126004583,0.060054869720596045,0.028812543693013355,16.735141054361662,0.06565678909351313,0.03636086218335427
1,SVM,2.3213237129638467,2.272169896629529,2.2696923614738886,2.272169896629529,0.03422896636778171,0.03425931277401446,1.783809359218452,0.04068900352762484,0.02278141877607682
2,Random Forest,2.972579512383389,2.9839377613520846,2.990202820348783,2.9839377613520846,0.03464719727624701,0.046377488810274675,3.7061021435168446,0.04216300328665266,0.029813133821909043
3,Majority-Voting-Ensemble,2.568727903441086,2.598142210480151,2.6041151707604824,2.598142210480151,0.038588109391737103,0.04006169945313138,8.339698754292584,0.041745770120119645,0.025989500206980664
