,Model,Precision,Recall,F1,Acc,TPR,FPR,LRPOS,LRNEG,ROC
0,MLP,87.8728712531226,87.14013691798523,87.06499632762936,87.14013691798523,0.8072098404579222,0.06430398246255023,18.59284800876875,0.20669971727931263,0.8714529289976861
1,SVM,86.30991140176268,86.20694866331174,86.19929682775243,86.20694866331174,0.8611314090853733,0.13682864450127877,6.727631994826916,0.160945777447198,0.8621513822920474
2,Random Forest,88.44425240033188,88.17684484139579,88.15495410221558,88.17684484139579,0.9128607964925102,0.14940323955669224,7.1638327571831395,0.10287394821988163,0.881728778467909
3,Majority-Voting-Ensemble,89.27295919954308,89.10852186002933,89.09644519822454,89.10852186002933,0.8776032151991233,0.09539033004506149,12.27484066090204,0.13528593535673364,0.8911064425770308
