,Model,Precision,Recall,F1,Acc,TPR,FPR,LRPOS,LRNEG,ROC
0,MLP,0.014342498915466156,0.016283994374322944,0.016355648063899293,0.016283994374322944,0.032813610719959245,0.0,,0.03281361071995923,0.016406805359979612
1,SVM,0.003333249591100535,0.003397350544775519,0.0033979912520919133,0.003397350544775519,0.006861315806115319,0.0,,0.006861315806115359,0.0034306579030577372
2,Random Forest,0.006789787824292427,0.006789229295626489,0.006788746359126238,0.006789229295626489,0.009703365868733172,0.012323583205883918,,0.00983572273270803,0.006740677022887999
3,Majority-Voting-Ensemble,0.006543045493641849,0.006794701089551078,0.0067985471467716056,0.006794701089551078,0.013722631612230677,0.0,,0.01372263161223068,0.006861315806115319
