,Model,Precision,Recall,F1,Acc,TPR,FPR,LRPOS,LRNEG,ROC
0,MLP,0.9766377905486999,0.9750074787196432,0.9749646681091527,0.9750074787196432,0.9499569058392588,0.0,inf,0.050043094160741215,0.9749784529196293
1,SVM,0.9986392065527439,0.998613037447989,0.9986127758803224,0.998613037447989,0.9971988795518207,0.0,inf,0.002801120448179278,0.9985994397759104
2,Random Forest,0.9876881713554558,0.9875037393598217,0.9875025584587386,0.9875037393598217,0.9915966386554622,0.016645119586296057,inf,0.008515406162465005,0.987475759534583
3,Majority-Voting-Ensemble,0.9973288128627935,0.9972260748959778,0.9972245047496925,0.9972260748959778,0.9943977591036415,0.0,inf,0.005602240896358539,0.9971988795518207
