,Model,Precision,Recall,F1,Acc,TPR,FPR,LRPOS,LRNEG,ROC
0,MLP,1.5904715931656597,1.568347512058076,1.605568082071909,1.568347512058076,0.010995672838254348,0.05189165408976993,7.702262623375659,0.0123914722209508,0.026506651157754232
1,SVM,1.2404413520821782,1.5444785482820507,2.023577821278446,1.5444785482820507,0.006058294411549455,0.06369325761616873,0.2702805376591609,0.010949835251074028,0.030836891608494146
2,Random Forest,1.3358086020478075,1.4879557696214296,1.5854386042180255,1.4879557696214296,0.0,0.057710474493051535,3.0420186638185496,0.0,0.0288552372465257
3,Majority-Voting-Ensemble,1.5717760015530569,1.6107790523542749,1.6734705067255056,1.6107790523542749,0.0050714073349548035,0.05323971374999499,6.304660029597819,0.00640598821257449,0.028088951451791175
