,Fold,Model,Precision,Recall,F1,Acc,TPR,FPR,LRPOS,LRNEG,ROC
0,0,MLP,93.47404072529015,93.54838709677419,93.45421759166501,93.54838709677419,0.9710144927536232,0.16666666666666666,5.82608695652174,0.034782608695652195,0.9021739130434784
1,1,MLP,95.69204080789724,95.6989247311828,95.63614506110999,95.6989247311828,0.9855072463768116,0.125,7.884057971014493,0.016563146997929552,0.9302536231884058
2,2,MLP,98.94009216589862,98.9247311827957,98.91716002626862,98.9247311827957,1.0,0.041666666666666664,24.00000000000002,0.0,0.9791666666666667
3,3,MLP,95.69204080789724,95.6989247311828,95.63614506110999,95.6989247311828,0.9855072463768116,0.125,7.884057971014493,0.016563146997929552,0.9302536231884058
4,4,MLP,95.93460008837825,95.6989247311828,95.56399983478585,95.6989247311828,1.0,0.16666666666666666,6.000000000000002,0.0,0.9166666666666667
5,5,MLP,94.62159462159462,94.5945945945946,94.47232947232948,94.5945945945946,0.9854014598540146,0.16666666666666666,5.912408759124089,0.01751824817518246,0.909367396593674
6,6,MLP,96.82722722722723,96.75675675675676,96.77792738717109,96.75675675675676,0.9708029197080292,0.041666666666666664,23.299270072992723,0.03046651856553471,0.9645681265206814
7,0,SVM,88.29626690661244,87.63440860215054,86.50699764969858,87.63440860215054,0.9855072463768116,0.4375,2.2525879917184266,0.025764895330112638,0.7740036231884059
8,1,SVM,88.23760818253345,86.02150537634408,84.02722251045259,86.02150537634408,1.0,0.5416666666666666,1.8461538461538458,0.0,0.7291666666666666
9,2,SVM,91.02116293404562,89.78494623655914,88.85360675409883,89.78494623655914,1.0,0.3958333333333333,2.526315789473684,0.0,0.8020833333333333
10,3,SVM,87.85923753665689,85.48387096774194,83.29051698998792,85.48387096774194,1.0,0.5625,1.7777777777777777,0.0,0.71875
11,4,SVM,88.77843150515092,87.63440860215054,86.34039317910286,87.63440860215054,0.9927536231884058,0.4583333333333333,2.16600790513834,0.013377926421404743,0.7672101449275361
12,5,SVM,86.55401636996729,84.86486486486487,82.70990990990991,84.86486486486487,0.9927007299270073,0.5625,1.764801297648013,0.016684045881126153,0.7151003649635037
13,6,SVM,88.241809448706,87.56756756756758,86.43679537877492,87.56756756756758,0.9854014598540146,0.4375,2.2523461939520333,0.025952960259529572,0.7739507299270073
14,0,Random Forest,94.06451612903226,93.54838709677419,93.22196620583718,93.54838709677419,1.0,0.25,4.0,0.0,0.875
15,1,Random Forest,94.98692240627724,94.6236559139785,94.40506979891828,94.6236559139785,1.0,0.20833333333333334,4.799999999999999,0.0,0.8958333333333333
16,2,Random Forest,97.91004089050432,97.84946236559139,97.81807253055501,97.84946236559139,1.0,0.08333333333333333,11.999999999999995,0.0,0.9583333333333333
17,3,Random Forest,96.90860215053763,96.7741935483871,96.70098375657743,96.7741935483871,1.0,0.125,8.0,0.0,0.9375
18,4,Random Forest,95.93460008837825,95.6989247311828,95.56399983478585,95.6989247311828,1.0,0.16666666666666666,6.000000000000002,0.0,0.9166666666666667
19,5,Random Forest,95.91425908667287,95.67567567567568,95.54045341279384,95.67567567567568,1.0,0.16666666666666666,6.000000000000002,0.0,0.9166666666666667
20,6,Random Forest,97.8991757715162,97.83783783783784,97.80638943604222,97.83783783783784,1.0,0.08333333333333333,11.999999999999995,0.0,0.9583333333333333
21,0,Majority-Voting-Ensemble,93.62792752982764,93.54838709677419,93.34599975217877,93.54838709677419,0.9855072463768116,0.20833333333333334,4.730434782608695,0.01830663615560635,0.888586956521739
22,1,Majority-Voting-Ensemble,95.93460008837825,95.6989247311828,95.56399983478585,95.6989247311828,1.0,0.16666666666666666,6.000000000000002,0.0,0.9166666666666667
23,2,Majority-Voting-Ensemble,98.94009216589862,98.9247311827957,98.91716002626862,98.9247311827957,1.0,0.041666666666666664,24.00000000000002,0.0,0.9791666666666667
24,3,Majority-Voting-Ensemble,96.90860215053763,96.7741935483871,96.70098375657743,96.7741935483871,1.0,0.125,8.0,0.0,0.9375
25,4,Majority-Voting-Ensemble,95.93460008837825,95.6989247311828,95.56399983478585,95.6989247311828,1.0,0.16666666666666666,6.000000000000002,0.0,0.9166666666666667
26,5,Majority-Voting-Ensemble,95.91425908667287,95.67567567567568,95.54045341279384,95.67567567567568,1.0,0.16666666666666666,6.000000000000002,0.0,0.9166666666666667
27,6,Majority-Voting-Ensemble,97.8991757715162,97.83783783783784,97.80638943604222,97.83783783783784,1.0,0.08333333333333333,11.999999999999995,0.0,0.9583333333333333
